url,region,condition,rooms,rent,year_construction,space,cold_rent,utilities,heating_costs,security_deposit,parking_space,renovated_date,property_condition,furnishing,heating_type,energy_sources,energy_certificate,type_of_certificate,energy_requirement,efficiency_class,tags
https://www.immobilienscout24.de/expose/116051687,Mitte,first_time_use,4,2659,2019,117.2,2.20€,+460€,in,3,120€,,New,,Underfloor Heating,,,Bedarfsausweis,,B,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/115338103,Kreuzberg,first_time_use,1,1200,2020,29.33,"973,51€","+226,49€",in,"2920,53",,,New,Gehobene Qualität,Central Heating,Fernwärme Energieausweis liegt vor,liegt vor,,,,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/116458710,Köpenick,well_kept,2,979,1997,83.61,799€,+90€,+90€,Drei,,,Groomed,Normale Qualität,Central Heating,Fernwärme Energieausweis liegt vor,liegt vor,"Verbrauchsausweis Energie­ver­brauchs­kennwert 98,5 kWh/(m²*a)",,,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/116573177,Wilmersdorf,well_kept,4,1830.22,1900,171.18,,,,,,,,,,,,,,,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/115925878,Kreuzberg,first_time_use,2,2272,2020,88.27,,,,,,,New,Gehobene Qualität,Central Heating,Fernwärme Energieausweis liegt zur Besichtigung vor,liegt zur Besichtigung vor,,,,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/115611847,Köpenick,well_kept,2,840,1997,73.51,652€,+110€,+78€,3,,2019,Groomed,Normale Qualität,Central Heating,Fernwärme Energieausweis liegt vor,liegt vor,Verbrauchsausweis Energie­ver­brauchs­kennwert 84 kWh/(m²*a),,,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/108376992,Mitte,mint_condition,2,1509.45,2015,61.61,,,,,,,,,,,,,,,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/116573270,Charlottenburg,well_kept,2,730.73,1900,72.61,"540,73€",+110€,+80€,3,,,Groomed,,Central Heating,Fernwärme Energieausweis liegt vor,liegt vor,"Verbrauchsausweis End­energie­verbrauch 171,7 kWh/(m²*a)",,,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/116456427,Friedrichsfelde,well_kept,2,561.93,1971,62.4,"391,93€",+110€,+60€,Drei,,,Groomed,Normale Qualität,District Heating,Fernwärme Energieausweis liegt vor,liegt vor,Verbrauchsausweis Energie­ver­brauchs­kennwert 74 kWh/(m²*a) Energieverbrauch für Warmwasser enthalten,,,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/113934099,Tiergarten,first_time_use,3,1789,2020,77.66,1.53€,+255€,in,3,,,New,Luxus,Underfloor Heating,Fernwärme Energieausweis liegt vor,liegt vor,Bedarfsausweis,"81,6 kWh/(m²*a)",,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/114437800,Mitte,first_time_use,4,2499,2019,125.2,2.00€,+500€,in,,120€,,New,,Underfloor Heating,Fernwärme,,Bedarfsausweis,,B,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/116205341,Kreuzberg,first_time_use,2,2328,2020,90.36,,,,,,,New,Gehobene Qualität,Central Heating,Fernwärme Energieausweis liegt zur Besichtigung vor,liegt zur Besichtigung vor,,,,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/116168441,Mitte,first_time_use,3,2500,2019,81.1,2.15€,+250€,in,3,,,New,Luxus,Underfloor Heating,Fernwärme Energieausweis liegt vor,liegt vor,Bedarfsausweis,"64,2 kWh/(m²*a)",B,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/113473088,Kreuzberg,mint_condition,2,6450,2016,186,5.70€,+750€,inkl.,3,,,Mint Condition,Luxus,Underfloor Heating,,,,,,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/116361020,Tiergarten,first_time_use,2,1399.65,2019,66.65,"1.199,70€","+133,30€","+66,65€",2400,,2019,New,Gehobene Qualität,District Heating,Fernwärme Energieausweis liegt vor,liegt vor,Bedarfsausweis,"66,2 kWh/(m²*a)",B,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/114948552,Mitte,well_kept,2,1505.6,2018,75.28,"1.279,76€","+225,84€",in,3,150€,,Groomed,Luxus,Underfloor Heating,,,,,,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/116128686,Friedrichsfelde,first_time_use,3.5,1429.1,2020,82.05,"1.169,14€","+164,09€","+95,87€",3507.42,,,New,Gehobene Qualität,,Fernwärme,,Bedarfsausweis,40 kWh/(m²*a),,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/116672493,Köpenick,mint_condition,1,930,2018,29.12,760€,+170€,+0€,2000,,,Mint Condition,Gehobene Qualität,,,,,,,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/116128693,Friedrichsfelde,first_time_use,2,868.06,2020,49.19,"713,26€","+98,38€","+56,42€",2139.78,,,New,Gehobene Qualität,,Fernwärme,,Bedarfsausweis,40 kWh/(m²*a),,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/115478066,Mitte,first_time_use,4,2179,2019,95.8,1.80€,+380€,in,"5.397,00",120€,,New,,Underfloor Heating,,,Bedarfsausweis,,B,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/116673507,Mitte,no_information,3,1829,2019,67,,,,,,,,,,,,,,,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/116541713,Köpenick,well_kept,3,1589,1994,105.47,1.30€,+294€,in,"3885,00",,2019,Groomed,Gehobene Qualität,Central Heating,Öl Energieausweis liegt vor,liegt vor,Verbrauchsausweis End­energie­verbrauch 109 kWh/(m²*a),,D,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/116673146,Prenzlauer,mint_condition,3,1831,2019,72.28,,,,,,,Mint Condition,Gehobene Qualität,,,,,,,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/116673619,Tiergarten,no_information,1,1060,2020,32,,,,,,,,,,,,,,,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/116659680,Prenzlauer,mint_condition,3,3103,1918,141.75,2.65€,"+453,60€",in,"7.950,00",,2019,Mint Condition,Luxus,Central Heating,Gas,,"Verbrauchsausweis Energie­ver­brauchs­kennwert 120,8 kWh/(m²*a)",,,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/116673702,Tiergarten,no_information,2,1619,2020,60,1.38€,+235€,inkl.,4152,,,,Luxus,,,,,,,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/115320929,Mitte,mint_condition,1,715,2014,19,,,,,,,Mint Condition,Gehobene Qualität,Central Heating,Fernwärme Energieausweis liegt vor,liegt vor,Bedarfsausweis,51 kWh/(m²*a),,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/115967641,Köpenick,mint_condition,3,1237.83,2015,80.97,,,,,,,,,,,,,,,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/116045250,Charlottenburg,first_time_use,3,2290,2019,96.81,,,,,,,New,,Underfloor Heating,,,Bedarfsausweis,81 kWh/(m²*a),B,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/116326551,Charlottenburg,mint_condition,2,1810,2016,100.47,1.55€,+250€,in,"4.650,00",150€,,Mint Condition,Luxus,Central Heating,Fernwärme Energieausweis liegt vor,liegt vor,Bedarfsausweis,58 kWh/(m²*a),B,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/115455112,Tiergarten,first_time_use,3,2320,2019,101.38,,,,,,,New,,Underfloor Heating,,,Bedarfsausweis,80 kWh/(m²*a),B,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/115542854,Charlottenburg,first_time_use,4,2230,2019,112.26,,,,,,,New,Gehobene Qualität,Underfloor Heating,,,Bedarfsausweis,50 kWh/(m²*a),,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/115830685,Tiergarten,fully_renovated,3,2155,1990,101.15,,,,,,,Completely Renovated,,District Heating,Fernwärme-Dampf,,"Verbrauchsausweis End­energie­verbrauch 204,3 kWh/(m²*a)",,,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/116211269,Mitte,mint_condition,4,2660.9,2017,132.81,,,,,,,Mint Condition,Gehobene Qualität,,Fernwärme,,Bedarfsausweis,102 kWh/(m²*a),,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/116211278,Mitte,mint_condition,2,1427.82,2017,73.97,,,,,,,Mint Condition,Gehobene Qualität,,Fernwärme,,Bedarfsausweis,113 kWh/(m²*a),,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/115637975,Wilmersdorf,first_time_use,4,3170,2019,139.07,,,,,,,New,,Underfloor Heating,,,Bedarfsausweis,68 kWh/(m²*a),B,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
https://www.immobilienscout24.de/expose/116126616,Tiergarten,first_time_use,1,999,2019,28,901€,keine,keine,1.50€,,,New,Gehobene Qualität,Underfloor Heating,Erdwärme Energieausweis liegt vor,liegt vor,Bedarfsausweis,"16,3 kWh/(m²*a)",A+,"['Balkon', 'Terrasse Balkon', 'Terrasse Personenaufzug Personenaufzug Einbauküche Einbauküche']"
